profiling for PID = 11424
RAM [KB],VRAM [MB],time since beginning [s]
588772,,0
668720,,5
668724,,10
668724,,15
668728,,20
668728,,25
668728,,30
668728,,36
668728,,41
668728,,46
668728,,51
668728,,56
668728,,61
668728,,66
668728,,71
668728,,77
668728,,82
668764,,87
668764,,92
668764,,97
668764,,102
668764,,107
668764,,112
668764,,117
668764,,123
668764,,128
668764,,133
668764,,138
668764,,143
668764,,148
668772,,154
668772,,159
668772,,164
668772,,169
668772,,174
668772,,179
668772,,184
668772,,189
668772,,194
668772,,200
668772,,205
668772,,210
668772,,215
668772,,220
668772,,225
668772,,230
668772,,236
668772,,241
668772,,246
668772,,251
668772,,256
668772,,261
668772,,266
668772,,272
668772,,277
668772,,282
668772,,287
668772,,292
668772,,297
668772,,302
668772,,307
668772,,313
674816,,318
674816,,323
674816,,328
674816,,333
674816,,338
674816,,343
674816,,348
674816,,353
674816,,358
674816,,363
674816,,369
674816,,374
674816,,379
674816,,384
674816,,389
674816,,394
674816,,399
674816,,404
674816,,409
674816,,414
674816,,420
674816,,425
674816,,430
674816,,435
674816,,440
674816,,445
674816,,450
674816,,456
674816,,461
674816,,466
674816,,471
674816,,476
674816,,481
674816,,486
674816,,492
674816,,497
674816,,502
674816,,507
674816,,512
674816,,517
674816,,522
674816,,527
674816,,532
674816,,537
674816,,543
674816,,548
674816,,553
674816,,558
674816,,563
674816,,568
674816,,573
674816,,578
674816,,584
674816,,589
674816,,594
674816,,599
674816,,604
688084,,609
688084,,614
688084,,620
688084,,625
688084,,630
688084,,635
688084,,640
688084,,645
688084,,650
688084,,655
688084,,660
688084,,666
688084,,671
688084,,676
688084,,681
688084,,686
688084,,691
688084,,696
688084,,701
688084,,706
688084,,712
688084,,717
688084,,722
688084,,727
688084,,732
688084,,737
688084,,742
688084,,748
688084,,753
688084,,758
688084,,763
688084,,768
688084,,773
688084,,778
688084,,783
688084,,789
688084,,794
688084,,799
687888,,804
687780,,809
687780,,814
687780,,819
687732,,824
687668,,829
687668,,835
687596,,840
687224,,845
687200,,850
687024,,855
686644,,860
686324,,865
686212,,870
686212,,876
686188,,881
686052,,886
686052,,891
686052,,896
686052,,901
685988,,907
685988,,912
685956,,917
685956,,922
685956,,927
685956,,932
685956,,937
685956,,942
685640,,947
685400,,953
685400,,958
685400,,963
685376,,968
685272,,973
685264,,978
685264,,983
685264,,988
685264,,993
685264,,999
685128,,1004
684896,,1009
684880,,1014
684872,,1019
684748,,1024
684748,,1029
684748,,1034
684748,,1039
684748,,1045
684748,,1050
684660,,1055
684556,,1060
684556,,1065
684556,,1070
684412,,1075
684412,,1080
684412,,1086
684364,,1091
684360,,1096
684360,,1101
684360,,1106
684260,,1111
684260,,1116
684260,,1122
684260,,1127
684260,,1132
684060,,1137
684060,,1142
683932,,1147
727168,,1152
828316,,1157
828340,,1163
828388,,1168
886360,,1173
886724,,1178
887440,,1183
887588,,1188
888232,,1193
888956,,1198
889564,,1203
889916,,1209
890356,,1214
890928,,1219
892184,,1224
892488,,1229
892684,,1234
893476,,1240
893492,,1245
894304,,1250
894856,,1255
894908,,1260
895492,,1265
895912,,1270
896652,,1276
897172,,1281
897332,,1286
897988,,1291
898456,,1296
900864,,1301
900864,,1306
902088,,1312
902088,,1317
902088,,1322
902088,,1327
902088,,1332
902088,,1337
902088,,1342
902088,,1347
902088,,1353
902088,,1358
902088,,1363
902088,,1368
902268,,1373
902268,,1378
902268,,1383
902268,,1388
902268,,1394
902268,,1399
902268,,1404
902268,,1409
902268,,1414
902268,,1419
902268,,1424
902268,,1430
902268,,1435
902268,,1440
902268,,1445
902268,,1450
902272,,1455
902272,,1460
902272,,1465
902272,,1470
902272,,1476
902272,,1481
902272,,1486
902272,,1491
902272,,1496
902272,,1501
902272,,1506
902272,,1511
902272,,1516
902544,,1522
902544,,1527
902536,,1532
902536,,1537
902532,,1542
902532,,1547
902532,,1552
902532,,1557
902532,,1563
902532,,1568
902532,,1573
902532,,1578
902532,,1583
902532,,1588
902532,,1594
902532,,1599
902532,,1604
902532,,1609
902532,,1614
907488,,1619
968632,,1624
986552,,1630
987416,,1635
987560,,1640
988136,,1645
1015744,,1650
1015876,,1655
1016656,,1660
1017052,,1665
1017764,,1671
1018356,,1676
1018532,,1681
1019392,,1686
1019612,,1691
1019988,,1696
1020740,,1701
1021176,,1707
1021828,,1712
1022348,,1717
1022940,,1722
1023328,,1727
1025292,,1732
1025292,,1737
1025292,,1743
1025292,,1748
1047620,,1753
1047620,,1758
1047640,,1763
1047640,,1768
1047640,,1773
1047640,,1778
1047640,,1784
1047640,,1789
1047640,,1794
1047640,,1799
1047640,,1804
1047640,,1809
1047640,,1814
1047640,,1820
1047640,,1825
1047640,,1830
977612,,1835
977612,,1840
977612,,1845
977612,,1850
977612,,1855
977612,,1860
977612,,1866
977612,,1871
